timestamp,DVL-filtered,validity,rpm,depth,Echo,Label
1676970806.312,2.987,VALID,1114,3.067,30.0,TRACKING
1676970806.511,3.045,VALID,1113,3.146,30.0,TRACKING
1676970806.711,3.116,VALID,1113,3.126,30.0,TRACKING
1676970806.911,3.101,VALID,1113,3.055,29.993,TRACKING
1676970807.111,3.067,VALID,1113,3.055,29.993,TRACKING
1676970807.112,3.067,VALID,1112,3.146,29.884,TRACKING
1676970807.311,3.085,VALID,1112,3.177,30.0,TRACKING
1676970807.511,3.307,VALID,1111,3.131,29.922,TRACKING
1676970807.711,3.274,VALID,1111,3.101,30.0,TRACKING
1676970807.911,3.34,VALID,1111,3.101,30.0,TRACKING
1676970807.912,3.34,VALID,1110,3.184,30.0,TRACKING
1676970808.111,3.377,VALID,1110,3.091,29.547,TRACKING
1676970808.311,3.318,VALID,1109,3.124,30.0,TRACKING
1676970808.511,3.324,VALID,1109,3.147,29.943,TRACKING
1676970808.711,3.37,VALID,1108,3.23,30.0,TRACKING
1676970808.911,3.294,VALID,1108,3.217,30.0,TRACKING
1676970809.111,3.353,VALID,1108,3.242,29.83,TRACKING
1676970809.311,3.217,VALID,1107,3.19,30.0,TRACKING
1676970809.511,3.29,VALID,1107,3.19,30.0,TRACKING
1676970809.512,3.29,VALID,1107,3.07,30.0,TRACKING
